nazwisko,imie,partia
śmiszek,krzysztof,lewica
śniadek,janusz,pis
śnieżek,adam,pis
świat,jacek,pis
tchórzewski,krzysztof,pis
telus,robert,pis
terlecki,ryszard,pis
tomaszewski,tedeusz,lewica
tomaszewski,włodzimierz,pis
tomaczak,jacek,kp
tomczyk,cezary,ko
tracz,małgorzata,ko
trela,tomasz,lewica
trepka,mariusz,pis
truskolaski,krzysztof,ko
tuduj,krzysztof,konfederacja
tułajew,sylwester,pis
tyszka,stanisław,kukiz15
tyszkiewicz,robert,ko
ueberhan,katarzyna,lewica
urbaniak,jarosław,ko
urbaniak,michał,konfederacja
uruski,piotr,pis
uściński,piotr,pis
wałęsa,jarosław,ko
warchoł,marcin,pis
wargocka,teresa,pis
warwas,robert,pis
warzecha,jan,pis
wassermann,małgorzata,pis
wawrzyk,piotr,pis
wąsik,maciej,pis
wcisło,marta,ko
weber,rafał,pis
wesoły,marek,pis
wicher,patryk,pis
wieczorek,dariusz,lewica
wielichowska,monika,ko
wilczyński,ryszard,ko
winnicki,robert,konfederacja
witczak,mariusz,ko
witek,elżbieta,pis
wojciechowska,anna,ko
wojciechowski,grzegorz,pis
wojtyszek,agata katarzyna,pis
wolski,zdzisław,lewica
wontor,bogusław,lewica
woś,michał,pis
woźniak,grzegorz adam,pis
woźniak,tadeusz,pis
wójcik,michał,pis
wróblewski,bartłomiej,pis
wypij,michał,porozumienie
zagórski,marek,pis
zalewski,paweł,polska2050
zandberg,adrian,lewica
zawisza,marcelina,lewica
zawiślak,sławomir,pis
zembaczyński,witold,ko
zgorzelski,piotr,kp
ziejewski,zbigniew,kp
zielińska,urszula,ko
zieliński,jarosław,pis
zieliński,tomasz,pis
zientarski,piotr benedykt,ko
zimoch,tomasz,polska2050
ziobro,zbigniew,pis
zubowski,wojciech,pis
zwiefka,tadeusz,ko
zyska,ireneusz,pis
żalek,jacek,pis
żelazowska,bożena,kp
żuk,stanisław,kukiz15
żukowska,anna maria,lewica
